City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE_OLD;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential_old;Mobile_potential
Stuhr;0;;;41;16;10 - 19;291;291;290;11;14;230;226;14;1481.40055218828;2074.9793102399635
Berlin;0;;;40;13;20 - 49;291;291;291;25;27;2900;2774;307;2618.236059033599;2717.8534884475475
Lübbecke;0;500.001 - 2.500.000;1218283;65;20;10 - 19;291;290;291;15;16;61;60;2;1487.9579336914803;2023.090828883625
Hamburg;0;500.001 - 2.500.000;1320000;50;14;10 - 19;291;291;291;15;20;1625;1264;589;1480.4227931567991;1617.551511644763
Glashütte;0;500.001 - 2.500.000;1564687;24;14;10 - 19;290;292;290;16;17;20;18;2;1678.0383056794801;2081.409825629119
Liebenwalde;0;500.001 - 2.500.000;1000000;40;14;20 - 49;291;292;292;25;26;9;9;0;2059.3129454340005;2742.537493158028
Rheinberg;0;;;40;16;20 - 49;291;290;291;22;25;124;123;4;2709.0454146454795;3192.6773363146267
Iserlohn;0;;;76;4;10 - 19;291;290;291;10;15;133;131;4;1546.3811555434802;2067.315747848469
Chemnitz;0;;;78;4;10 - 19;291;291;291;14;17;449;443;19;2339.6467418386796;2476.6027614460154
Brockum;0;500.001 - 2.500.000;2000000;40;14;10 - 19;290;292;290;18;21;18;17;1;2524.8785093808;3467.4746022092195
Weil am Rhein;0;500.001 - 2.500.000;1000000;63;14;10 - 19;291;290;290;12;12;86;86;1;1342.5232819954801;1606.109530332595
München;0;500.001 - 2.500.000;2000000;52;14;20 - 49;291;290;291;30;32;1642;1589;118;1906.1690126723993;2559.950966965331
Leipzig;0;500.001 - 2.500.000;1000000;55;14;20 - 49;291;290;291;31;34;;;;1777.2776247274796;2654.49973300241
St. Michaelisdonn;0;500.001 - 2.500.000;1500000;33;14;20 - 49;291;291;291;25;27;22;22;1;1876.5780320554798;1886.6894778389908
Pforzheim;0;500.001 - 2.500.000;1500000;24;14;10 - 19;291;290;291;14;17;175;173;7;1552.4553729442796;2352.4110426469197
Berlin;0;500.001 - 2.500.000;2400000;83;28;10 - 19;291;291;291;13;15;3032;2911;307;1529.2290332495988;2495.720131648043
Weinsberg;0;;;39;14;20 - 49;291;291;290;21;24;174;173;2;1972.0187287354797;2488.143174921932
Leinfelden-Echterdingen;0;;;68;14;10 - 19;291;291;291;10;12;664;644;48;1587.2967727594792;1937.0747500030047
Deißlingen;0;500.001 - 2.500.000;740000;47;14;10 - 19;291;291;290;10;14;129;127;4;1689.15255874548;2597.0431200167486
Bitterfeld-Wolfen;0;100.001 - 250.000;250000;78;4;10 - 19;291;290;290;10;11;69;68;2;2151.9799825318805;2605.5330927800055
Köln;0;;;83;28;10 - 19;291;291;291;10;11;844;837;34;1563.3914416175994;2499.5667769141146
Pronstorf;0;;;77;4;20 - 49;;;;30;32;42;39;4;1983.7894933186803;2481.427644346567
Langen;0;5.000.001 - 25.000.000;5200000;16;14;20 - 49;291;291;291;30;35;289;283;19;1957.3314624250797;2284.980196796725
Staßfurt;0;;;47;14;10 - 19;291;292;291;11;16;;;;2075.05865965668;2270.2423076113346
Grefrath;0;500.001 - 2.500.000;1750000;47;14;20 - 49;291;290;290;29;33;179;176;11;2291.6000488906802;3273.3935253508503
Berlin;0;2.500.001 - 5.000.000;2678969;55;50;20 - 49;291;291;291;44;47;2937;2820;301;1909.2342603995994;2435.836892098818
Rippershausen;0;;;42;14;20 - 49;291;290;292;40;43;16;16;2;2000.2910163958804;2121.924862435727
Gräfelfing;0;2.500.001 - 5.000.000;2621091;38;14;10 - 19;291;290;291;15;19;936;914;65;1745.3231244167996;2577.641623994096
Weinheim;0;5.000.001 - 25.000.000;6700000;41;14;20 - 49;291;291;291;41;45;259;254;17;2048.30152307628;2225.84136924236
Garbsen;0;5.000.001 - 25.000.000;11473855;42;14;10 - 19;291;291;291;19;20;451;442;22;1989.8857310638793;2495.126993809622
Egglkofen;0;500.001 - 2.500.000;2440000;31;14;20 - 49;291;292;292;20;20;18;18;1;1944.5497556278801;1960.1365698843351
Hanau;0;500.001 - 2.500.000;1900000;41;14;10 - 19;291;290;291;11;16;302;296;17;1509.05096381628;2398.133376980417
Grevesmühlen;0;500.001 - 2.500.000;1950000;43;14;10 - 19;291;291;292;17;21;4;4;1;1794.5513711518802;2194.8236949440375
Wolfhagen;0;;;33;14;20 - 49;291;291;292;44;48;13;13;0;1902.28110736068;2372.3435519432687
Neubrandenburg;0;500.001 - 2.500.000;1200000;85;14;10 - 19;291;290;291;13;16;40;36;5;1487.9579336914803;2003.9189556934618
Essenbach;0;5.000.001 - 25.000.000;6200000;44;14;20 - 49;291;292;292;20;20;76;75;1;2425.7229013726796;2512.98507886076
Bad Oeynhausen;0;2.500.001 - 5.000.000;3060000;62;14;20 - 49;291;291;291;24;26;146;145;5;2086.63578390828;3048.8853853004434
Bremen;0;5.000.001 - 25.000.000;6089482;39;14;20 - 49;291;291;291;30;34;314;306;21;2079.3106965730794;2760.123438285973
Krefeld;0;500.001 - 2.500.000;1500000;64;14;10 - 19;291;290;291;10;11;277;273;13;1478.7174395290801;2364.2306842400094
Schallstadt;0;500.001 - 2.500.000;1619000;55;14;10 - 19;291;291;291;14;16;248;243;13;1577.6052692602798;1624.9207261148226
Zeulenroda-Triebes;0;500.001 - 2.500.000;1400000;40;14;10 - 19;291;291;291;15;16;27;26;1;2289.9993049534796;3102.2157664213128
Lützen;0;500.001 - 2.500.000;1000000;47;13;10 - 19;291;290;291;12;14;;;;1680.9821364454797;1859.3098987987391
Leingarten;0;500.001 - 2.500.000;1200000;44;31;10 - 19;291;291;290;15;19;214;210;9;1973.27065577148;2282.411315678485
Aachen;0;;;62;20;10 - 19;291;291;290;14;16;404;401;14;1761.8305514014796;1782.2770361542123
Geiersthal;0;2.500.001 - 5.000.000;3035428;24;14;20 - 49;291;292;292;25;27;7;7;0;2028.6823434406801;2840.1833205274424
Bergheim;0;500.001 - 2.500.000;2500000;44;14;20 - 49;291;292;290;25;26;;;;3049.5672054226807;3964.0327268889287
Hollenstedt;0;500.001 - 2.500.000;1400000;40;4;20 - 49;291;290;291;20;23;;;;2532.3679810176;3364.3642345969884
Herne;0;500.001 - 2.500.000;520000;50;14;10 - 19;291;291;291;11;15;;;;1200.95640909228;1747.2362978527526
Spremberg;0;5.000.001 - 25.000.000;11638870;34;4;20 - 49;291;290;292;46;48;34;34;4;1919.61134885628;2211.766569467999
Flensburg;0;2.500.001 - 5.000.000;5000000;55;14;10 - 19;291;291;291;15;20;39;38;1;1701.1626088162798;2674.8161255852915
Heidelberg;0;250.001 - 500.000;500000;50;14;10 - 19;291;290;291;10;13;291;290;13;1227.29728786428;2129.2100836823283
Hemer;0;500.001 - 2.500.000;600000;78;14;20 - 49;291;290;290;22;25;86;84;3;2534.3360351698802;2714.9999133041906
Aachen;0;;;31;14;20 - 49;291;290;291;37;41;353;351;12;2017.9116020674799;2372.082449582387
Rieschweiler-Mühlbach;0;100.001 - 250.000;150000;47;14;10 - 19;291;290;291;10;13;58;57;2;1348.81516970268;2004.3960697267648
Mannheim;0;500.001 - 2.500.000;1550000;61;14;10 - 19;291;291;291;13;16;554;544;41;1637.480345331479;2235.6478891373017
Elmshorn;0;500.001 - 2.500.000;900000;62;16;10 - 19;291;290;291;10;14;92;83;19;1351.42429409148;2039.5585170485454
Goslar;0;2.500.001 - 5.000.000;4900000;44;16;20 - 49;291;290;290;44;45;25;23;2;3210.7086200722815;3819.509068711129
München;0;;;83;28;10 - 19;291;291;291;10;10;1729;1679;122;1590.2359188215992;2028.8028100466458
Rheinstetten;0;500.001 - 2.500.000;1500000;43;14;10 - 19;291;291;291;15;17;346;340;17;1522.6649661322795;2401.2831609948216
Recklinghausen;0;500.001 - 2.500.000;1200000;62;16;10 - 19;291;291;291;13;15;331;326;26;1648.49788112628;1992.067772322398
Selmsdorf;0;2.500.001 - 5.000.000;4570234;24;14;20 - 49;291;290;291;32;33;94;90;7;2082.71765297628;2407.7338170135463
Marl;0;500.001 - 2.500.000;2178075;72;14;10 - 19;291;290;291;15;17;227;226;13;2196.7958448106792;2289.932536133889
Gilching;0;5.000.001 - 25.000.000;6550000;43;4;20 - 49;291;290;291;32;35;;;;1989.1402146610797;2416.3821866285057
Schluchsee;0;500.001 - 2.500.000;2450000;43;16;20 - 49;291;291;291;22;26;9;9;0;1961.9562534106801;2199.528391033713
Weingarten;0;;;17;14;20 - 49;291;290;292;29;30;81;81;1;1992.69953715588;2178.83632418967
Frankfurt;0;;;17;14;20 - 49;291;291;291;23;24;869;839;81;2194.2751717235997;2659.6114437996544
